@RELATION Treinamento

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 {0,1}

@DATA
0,0,1,1,0,0,4.14,1,1
0,0,1,1,0,0,2.62,1,0
0,0,1,1,1,0,4.18,1,1
0,0,1,1,0,0,2.86,1,1
1,0,1,1,0,0,3.16,1,0
0,0,1,1,0,0,6.58,0,1
0,0,0,0,1,0,4.50,0,1
0,0,1,1,0,0,3.94,0,0
0,0,1,1,0,0,5.62,0,0
0,0,1,1,0,0,3.00,1,1
0,0,1,1,0,0,2.62,1,1
0,0,0,1,0,1,3.08,1,0
0,0,0,1,0,1,3.38,1,1
0,0,1,1,0,0,5.40,0,0
0,0,1,1,0,0,6.86,0,1
0,0,0,1,0,0,2.96,1,0
0,0,0,1,0,0,4.38,1,0
0,0,1,1,0,0,4.74,0,1
0,0,1,1,0,0,6.02,0,1
1,0,0,1,0,1,7.08,0,1
1,0,1,1,0,0,7.14,0,1
0,0,1,1,0,1,5.64,0,1
1,0,1,1,0,0,5.64,0,1
0,0,1,1,0,0,2.76,1,1
0,0,0,1,0,1,2.86,1,0
0,0,0,1,0,0,2.64,1,0
0,0,1,1,0,0,2.52,1,1
0,0,0,1,0,0,3.86,0,0
0,0,1,1,0,0,4.38,0,0
0,0,1,1,0,1,4.10,1,1
0,0,0,1,0,1,7.02,0,0
0,0,1,0,0,0,2.42,1,0
0,0,1,1,0,0,4.40,1,1
0,0,1,1,0,0,3.12,1,1
0,0,0,1,1,0,3.64,1,1
0,0,1,0,0,0,3.66,0,0
0,0,0,1,0,1,5.64,0,1
1,1,0,1,1,1,6.04,0,1
0,0,1,1,0,1,4.50,0,1
0,1,1,0,1,0,6.24,0,1
0,0,0,1,0,1,4.42,1,1
1,1,0,1,0,0,4.98,0,1
0,0,0,1,1,1,6.32,0,1
0,1,1,1,0,0,2.64,1,0
0,0,1,0,0,0,3.86,1,0
0,0,1,0,0,0,2.98,1,0
0,0,1,1,0,0,3.56,1,0
0,0,0,1,0,0,5.06,0,1
0,0,1,1,0,0,4.06,0,0
0,0,1,1,0,0,5.04,0,1
0,0,1,0,0,0,2.74,1,0
0,0,1,0,0,0,2.84,1,0
0,0,1,1,0,0,3.24,1,0
0,0,1,1,0,0,5.92,0,0
0,0,1,1,0,0,3.20,0,1
0,0,1,1,0,0,5.20,0,1
0,0,0,1,0,1,3.14,1,1
0,0,0,1,0,1,3.24,1,1
0,0,1,1,0,0,3.16,0,0
0,0,1,1,0,0,1.72,1,0
0,0,1,1,0,0,2.12,1,0
0,0,1,1,0,0,2.94,1,0
0,0,1,1,0,0,6.04,0,0
1,0,1,1,0,1,5.18,0,1
0,0,0,1,0,1,5.38,0,0
0,0,1,1,0,0,5.26,0,0
0,0,1,1,0,0,5.78,0,1
0,0,1,1,0,0,6.80,0,1
0,0,1,1,0,0,5.86,0,1
0,0,0,1,0,0,2.04,1,0
0,0,0,1,0,0,4.12,1,1
0,0,1,1,0,0,6.24,0,0
0,0,0,1,0,0,6.84,0,0
0,0,1,1,0,0,3.68,0,0
0,0,1,1,0,0,4.70,0,1
1,1,0,1,1,1,4.82,0,1
0,0,0,1,0,1,4.26,1,1
0,0,0,1,0,1,3.06,1,1
0,0,0,1,0,0,4.20,0,0
0,0,1,1,0,0,3.86,0,0
0,0,1,1,0,0,4.66,0,0
0,0,0,1,0,0,2.64,1,0
0,1,1,1,0,0,5.20,0,0
0,0,1,1,0,0,3.12,1,0
0,0,1,1,0,1,5.16,0,0
0,0,1,1,0,0,3.68,0,0
0,0,1,1,0,0,4.16,0,0
0,0,0,1,0,0,3.34,1,0
0,0,1,1,0,0,1.48,1,0
0,0,0,1,0,0,2.44,1,0
0,0,1,0,0,0,3.18,0,0
0,0,1,0,0,0,4.08,1,0
0,0,0,1,0,1,4.78,0,1
