K_VALUE,WEIGHT,FOLDS,SEED,DATA,CORRECTLY CLASSIFIED,INCORRECTLY CLASSIFIED

1,No distance weighting,10,10,NOT_NORMALIZED,98.33240689271818,1.6675931072818233
2,No distance weighting,10,10,NOT_NORMALIZED,98.1100611450806,1.8899388549193996
3,No distance weighting,10,10,NOT_NORMALIZED,98.05447470817121,1.9455252918287937
4,No distance weighting,10,10,NOT_NORMALIZED,97.94330183435241,2.056698165647582
5,No distance weighting,10,10,NOT_NORMALIZED,97.94330183435241,2.056698165647582
6,No distance weighting,10,10,NOT_NORMALIZED,97.88771539744302,2.112284602556976
7,No distance weighting,10,10,NOT_NORMALIZED,97.77654252362423,2.2234574763757644
8,No distance weighting,10,10,NOT_NORMALIZED,97.77654252362423,2.2234574763757644
9,No distance weighting,10,10,NOT_NORMALIZED,97.77654252362423,2.2234574763757644
10,No distance weighting,10,10,NOT_NORMALIZED,97.77654252362423,2.2234574763757644
1,Weight by 1/distance,10,10,NOT_NORMALIZED,98.33240689271818,1.6675931072818233
2,Weight by 1/distance,10,10,NOT_NORMALIZED,98.1100611450806,1.8899388549193996
3,Weight by 1/distance,10,10,NOT_NORMALIZED,98.05447470817121,1.9455252918287937
4,Weight by 1/distance,10,10,NOT_NORMALIZED,98.05447470817121,1.9455252918287937
5,Weight by 1/distance,10,10,NOT_NORMALIZED,98.1100611450806,1.8899388549193996
6,Weight by 1/distance,10,10,NOT_NORMALIZED,98.1100611450806,1.8899388549193996
7,Weight by 1/distance,10,10,NOT_NORMALIZED,98.1100611450806,1.8899388549193996
8,Weight by 1/distance,10,10,NOT_NORMALIZED,97.9988882712618,2.001111728738188
9,Weight by 1/distance,10,10,NOT_NORMALIZED,97.94330183435241,2.056698165647582
10,Weight by 1/distance,10,10,NOT_NORMALIZED,97.88771539744302,2.112284602556976
1,Weight by 1-distance,10,10,NOT_NORMALIZED,98.33240689271818,1.6675931072818233
2,Weight by 1-distance,10,10,NOT_NORMALIZED,98.1100611450806,1.8899388549193996
3,Weight by 1-distance,10,10,NOT_NORMALIZED,98.05447470817121,1.9455252918287937
4,Weight by 1-distance,10,10,NOT_NORMALIZED,97.9988882712618,2.001111728738188
5,Weight by 1-distance,10,10,NOT_NORMALIZED,97.9988882712618,2.001111728738188
6,Weight by 1-distance,10,10,NOT_NORMALIZED,97.9988882712618,2.001111728738188
7,Weight by 1-distance,10,10,NOT_NORMALIZED,97.88771539744302,2.112284602556976
8,Weight by 1-distance,10,10,NOT_NORMALIZED,97.88771539744302,2.112284602556976
9,Weight by 1-distance,10,10,NOT_NORMALIZED,97.77654252362423,2.2234574763757644
10,Weight by 1-distance,10,10,NOT_NORMALIZED,97.77654252362423,2.2234574763757644
1,No distance weighting,10,10,NORMALIZED,98.33240689271818,1.6675931072818233
2,No distance weighting,10,10,NORMALIZED,98.1100611450806,1.8899388549193996
3,No distance weighting,10,10,NORMALIZED,98.05447470817121,1.9455252918287937
4,No distance weighting,10,10,NORMALIZED,97.94330183435241,2.056698165647582
5,No distance weighting,10,10,NORMALIZED,97.94330183435241,2.056698165647582
6,No distance weighting,10,10,NORMALIZED,97.88771539744302,2.112284602556976
7,No distance weighting,10,10,NORMALIZED,97.77654252362423,2.2234574763757644
8,No distance weighting,10,10,NORMALIZED,97.77654252362423,2.2234574763757644
9,No distance weighting,10,10,NORMALIZED,97.77654252362423,2.2234574763757644
10,No distance weighting,10,10,NORMALIZED,97.77654252362423,2.2234574763757644
1,Weight by 1/distance,10,10,NORMALIZED,98.33240689271818,1.6675931072818233
2,Weight by 1/distance,10,10,NORMALIZED,98.1100611450806,1.8899388549193996
3,Weight by 1/distance,10,10,NORMALIZED,98.05447470817121,1.9455252918287937
4,Weight by 1/distance,10,10,NORMALIZED,98.05447470817121,1.9455252918287937
5,Weight by 1/distance,10,10,NORMALIZED,98.1100611450806,1.8899388549193996
6,Weight by 1/distance,10,10,NORMALIZED,98.1100611450806,1.8899388549193996
7,Weight by 1/distance,10,10,NORMALIZED,98.1100611450806,1.8899388549193996
8,Weight by 1/distance,10,10,NORMALIZED,97.9988882712618,2.001111728738188
9,Weight by 1/distance,10,10,NORMALIZED,97.94330183435241,2.056698165647582
10,Weight by 1/distance,10,10,NORMALIZED,97.88771539744302,2.112284602556976
1,Weight by 1-distance,10,10,NORMALIZED,98.33240689271818,1.6675931072818233
2,Weight by 1-distance,10,10,NORMALIZED,98.1100611450806,1.8899388549193996
3,Weight by 1-distance,10,10,NORMALIZED,98.05447470817121,1.9455252918287937
4,Weight by 1-distance,10,10,NORMALIZED,97.9988882712618,2.001111728738188
5,Weight by 1-distance,10,10,NORMALIZED,97.9988882712618,2.001111728738188
6,Weight by 1-distance,10,10,NORMALIZED,97.9988882712618,2.001111728738188
7,Weight by 1-distance,10,10,NORMALIZED,97.88771539744302,2.112284602556976
8,Weight by 1-distance,10,10,NORMALIZED,97.88771539744302,2.112284602556976
9,Weight by 1-distance,10,10,NORMALIZED,97.77654252362423,2.2234574763757644
10,Weight by 1-distance,10,10,NORMALIZED,97.77654252362423,2.2234574763757644
