MODEL,K,SEED,SILHOUETTE,DB,CR
EM,2,3,0.5257101665736196,0.7924883368511976,-0.0950795905948475
EM,2,12,0.5257101665736196,0.7924883368511976,-0.0950795905948475
EM,2,17,0.5257101665736191,0.7924883368511976,-0.0950795905948475
EM,2,21,0.5257101665736195,0.7924883368511976,-0.0950795905948475
EM,2,30,0.5257101665736194,0.7924883368511976,-0.0950795905948475
EM,3,3,0.3771983862556564,1.2473361416879498,-0.10842641652089796
EM,3,12,0.4190150857239513,1.310074127747644,-0.10933436428112911
EM,3,17,0.37719838625565594,1.2473361416879498,-0.10842641652089796
EM,3,21,0.4190150857239507,1.310074127747644,-0.10933436428112911
EM,3,30,0.37705508589861936,1.243367902232405,-0.10825118219192754
EM,4,3,0.3552621815942619,1.2546673046576882,-0.11334978993007287
EM,4,12,0.35526218159426176,1.2546673046576882,-0.11334978993007287
EM,4,17,0.35526218159426187,1.2546673046576882,-0.11334978993007287
EM,4,21,0.3552621815942622,1.2546673046576882,-0.11334978993007287
EM,4,30,0.3223610758441384,1.4574150019845995,-0.11421495964807764
EM,5,3,0.2844293653057247,2.2342448775332175,-0.11686669454048876
EM,5,12,0.3501995032964459,1.1770646007977412,-0.11750451836237505
EM,5,17,0.3249499766911054,1.2474812222755778,-0.11607465073453342
EM,5,21,0.35019950329644567,1.177064600797741,-0.11750451836237505
EM,5,30,0.2661557707577402,1.4671766584332688,-0.11661239321318093
EM,6,3,0.20114792364398054,3.225415369523442,-0.04067638464589198
EM,6,12,0.32534575243090624,2.1117488578167904,-0.11910610349188967
EM,6,17,0.27175084583957215,1.8655692591145352,-0.1187437367884841
EM,6,21,0.3120185618345176,1.2943055899232103,-0.12003743885469667
EM,6,30,0.2649932749573133,1.3829381862552697,-0.11705658611052824
EM,7,3,0.2760284424580611,2.3048471550009557,-0.07763489230323914
EM,7,12,0.2935873233745368,1.5465428037692006,-0.12062080524978885
EM,7,17,0.28662970378972563,2.0517872296031787,-0.1212255455809312
EM,7,21,0.25639021365503145,1.7856127525345304,-0.07796513645119049
EM,7,30,0.23472292031626327,3.5476461948431894,-0.08148674577426873
EM,8,3,0.31511588479765046,1.2972541773865187,-0.12073539643553204
EM,8,12,0.21708360126511186,1.7945319185553663,-0.08918398302626679
EM,8,17,0.2541745060220862,1.7371509598389332,-0.08074462762900515
EM,8,21,0.28645547461180493,1.3589245666240661,-0.12122741816558866
EM,8,30,0.27096460177870774,1.7436109718853818,-0.12248623116134885
EM,9,3,0.30696934098605844,2.0252933849422394,-0.09203451249100643
EM,9,12,0.1245484632356563,2.773148386333105,0.06099379420055051
EM,9,17,0.22556780744963595,2.054595744629586,-0.08505526868511627
