TRAINING TIME,HIDDEN LAYERS,LEARNING RATE,FOLDS,SEED,DATA,CORRECTLY CLASSIFIED,INCORRECTLY CLASSIFIED

1000,90,0.1,2,10,NOT_NORMALIZED,93.94107837687604,6.0589216231239575
1000,90,0.01,2,10,NOT_NORMALIZED,94.3301834352418,5.669816564758199
1000,90,0.001,2,10,NOT_NORMALIZED,90.05002779321846,9.949972206781545
1000,100,0.1,2,10,NOT_NORMALIZED,93.94107837687604,6.0589216231239575
1000,100,0.01,2,10,NOT_NORMALIZED,94.3301834352418,5.669816564758199
1000,100,0.001,2,10,NOT_NORMALIZED,90.10561423012786,9.894385769872152
1000,110,0.1,2,10,NOT_NORMALIZED,93.94107837687604,6.0589216231239575
1000,110,0.01,2,10,NOT_NORMALIZED,94.16342412451363,5.836575875486381
1000,110,0.001,2,10,NOT_NORMALIZED,90.32795997776543,9.672040022234574
5000,90,0.1,2,10,NOT_NORMALIZED,94.05225125069484,5.94774874930517
5000,90,0.01,2,10,NOT_NORMALIZED,94.99722067815453,5.00277932184547
5000,90,0.001,2,10,NOT_NORMALIZED,95.2751528627015,4.724847137298499
5000,100,0.1,2,10,NOT_NORMALIZED,94.05225125069484,5.94774874930517
5000,100,0.01,2,10,NOT_NORMALIZED,94.88604780433575,5.1139521956642575
5000,100,0.001,2,10,NOT_NORMALIZED,95.3307392996109,4.669260700389105
5000,110,0.1,2,10,NOT_NORMALIZED,94.05225125069484,5.94774874930517
