MODEL,K,SEED,SILHOUETTE,DB,CR
Kmeans,2,3,0.3686107317044173,2.2935966953997062,-0.09411010626981153
Kmeans,2,12,0.3686107317044173,2.2935966953997062,-0.09411010626981153
Kmeans,2,17,0.3686107317044173,2.2935966953997062,-0.09411010626981153
Kmeans,2,21,0.3686107317044173,2.2935966953997062,-0.09411010626981153
Kmeans,2,30,0.3686107317044173,2.2935966953997062,-0.09411010626981153
Kmeans,3,3,0.09344074857648572,11.909996909316837,-0.10558547902529994
Kmeans,3,12,0.09344074857648572,11.909996909316837,-0.10558547902529994
Kmeans,3,17,0.11855062380103197,8.468966466876894,-0.10653941638801119
Kmeans,3,21,0.11855062380103197,8.468966466876894,-0.10653941638801119
Kmeans,3,30,0.09731381085820943,10.309003967105909,-0.10388744920806131
Kmeans,4,3,0.09487827365417954,10.156653756203362,-0.10967936603022556
Kmeans,4,12,0.1665244911381916,18.546494927124638,-0.10471584065545636
Kmeans,4,17,0.08281028375081748,11.502245295620787,-0.11246889290663484
Kmeans,4,21,0.09988057622951052,10.241635433109428,-0.11072212765513954
Kmeans,4,30,0.15693324355333046,10.815051004552489,-0.10539877230902064
Kmeans,5,3,0.12906499711039682,29.60727371175967,-0.10829709565795463
Kmeans,5,12,0.11876614449611098,17.60736379329112,-0.10954713880941779
Kmeans,5,17,0.11397928883407096,8.265846595947206,-0.1119272817063357
Kmeans,5,21,0.07564532726127379,21.319202195555405,-0.11468316349778926
Kmeans,5,30,0.12546337938275634,10.247368880004393,-0.07814135178134776
Kmeans,6,3,0.08227696839106165,13.148653461234593,-0.11610897921416516
Kmeans,6,12,0.09624553466196101,12.806598616825193,-0.11642518102860425
Kmeans,6,17,0.1483487935139914,8.324812769913807,-0.08045294894175795
Kmeans,6,21,0.06786297540906268,22.52300236379995,-0.11532151246411707
Kmeans,6,30,0.07601182342423651,14.16004373958799,-0.1177851863550171
Kmeans,7,3,0.08253257188989054,15.545304403279378,-0.11525885766485519
Kmeans,7,12,0.08330639646860086,16.976366620568072,-0.11726017041676716
Kmeans,7,17,0.2124100399453195,8.855637572412974,-0.08470964255145516
Kmeans,7,21,0.12118592565345869,20.053575021528815,-0.11556882626933776
Kmeans,7,30,0.0911692094671261,13.871271369265473,-0.07983887394165454
Kmeans,8,3,0.1111401775288334,18.20394561961183,-0.08051975354895041
Kmeans,8,12,0.1426174203575743,79.98073560607043,-0.11977800634290979
Kmeans,8,17,0.1990808386830261,9.949365481373935,-0.08408134124909089
Kmeans,8,21,0.14002072281398134,18.116474662933825,-0.0887889893832112
Kmeans,8,30,0.08148171837291349,14.630148087236687,-0.08379645478239053
Kmeans,9,3,0.07717098355842283,16.85889313521282,-0.08324262077269384
Kmeans,9,12,0.14022334384850302,85.94251890297578,-0.11991337792643578
Kmeans,9,17,0.2068676919996461,14.518065213882645,-0.08853428709155245
Kmeans,9,21,0.12095467929921895,18.699183769531672,-0.09083555630601262
Kmeans,9,30,0.11748487437778454,15.897490061989426,-0.08824723690080723
Kmeans,10,3,0.0787774362191855,12.694704641102224,-0.08407855788464264
Kmeans,10,12,0.10281006807232144,22.427810814830046,-0.08800155759925309
Kmeans,10,17,0.1410577315345521,16.263444232466505,-0.08477569706402409
Kmeans,10,21,0.11355750989802182,19.346919896017532,-0.0898653134023724
Kmeans,10,30,0.10572011395043565,15.77708979329663,-0.0885200873394697
