MODEL,K,SEED,SILHOUETTE,DB,CR
EM,2,3,0.029114508217099766,2.3631853601271784,-0.0950795905948475
EM,2,12,0.029114508217099766,2.3631853601271784,-0.0950795905948475
EM,2,17,0.029114508217099766,2.3631853601271784,-0.0950795905948475
EM,2,21,0.029114508217099766,2.3631853601271784,-0.0950795905948475
EM,2,30,0.029114508217099766,2.3631853601271784,-0.0950795905948475
EM,3,3,-0.1780788365926914,13.450338170308113,-0.10842641652089796
EM,3,12,-0.18276180616657542,20.775217917977933,-0.10933436428112911
EM,3,17,-0.1780788365926914,9.796171032076137,-0.10842641652089796
EM,3,21,-0.18276180616657542,20.775217917977933,-0.10933436428112911
EM,3,30,-0.17813633875633936,9.835885957485276,-0.10825118219192754
EM,4,3,-0.14271963975342639,23.24379589052414,-0.11334978993007287
EM,4,12,-0.14271963975342636,20.578215395565902,-0.11334978993007287
EM,4,17,-0.14271963975342636,17.374629101315286,-0.11334978993007287
EM,4,21,-0.14271963975342639,25.90937638548238,-0.11334978993007287
EM,4,30,-0.18570278248338576,16.005980451407062,-0.11421495964807764
EM,5,3,-0.1933461104935556,12.530025890837573,-0.11686669454048876
EM,5,12,-0.12117688016930195,25.359718052197042,-0.11750451836237505
EM,5,17,-0.23914903106971958,30.833483642814805,-0.11607465073453342
EM,5,21,-0.12117688016930195,25.359718052197042,-0.11750451836237505
EM,5,30,-0.2299711675760907,7.532792626379242,-0.11661239321318093
EM,6,3,-0.21377825075226475,14.646586963516723,-0.04067638464589198
EM,6,12,-0.14996605138619012,11.192745089164603,-0.11910610349188967
EM,6,17,-0.3094243953402795,21.769769596741497,-0.1187437367884841
EM,6,21,-0.20675594622312524,24.401260511102063,-0.12003743885469667
EM,6,30,-0.26341544861686167,10.88986676773066,-0.11705658611052824
EM,7,3,-0.22896636530036782,13.262126786138467,-0.08118370473940181
EM,7,12,-0.23070850467366766,14.900918728088586,-0.12062080524978885
EM,7,17,-0.26619668350638465,20.89493299698416,-0.1212255455809312
EM,7,21,-0.20259590112127826,12.2277814475477,-0.0778549306699906
EM,7,30,-0.1314924439144866,13.390149181519373,-0.12069734567723239
EM,8,3,-0.26390821166988815,14.267384523524115,-0.12073539643553204
EM,8,12,-0.24976370234427156,16.018919389151712,-0.08918398302626679
EM,8,17,-0.2267775725063697,15.250642520782014,-0.08043092751141259
EM,8,21,-0.31158191397067847,25.16090110563568,-0.12122741816558866
EM,8,30,-0.24163921964819585,48.831803517589776,-0.12248623116134885
EM,9,3,-0.2603184656475497,26.948299567889364,-0.09203451249100643
EM,9,12,-0.33682462957115905,16.249045270617717,0.06124352657102154
EM,9,17,-0.28769599789155875,15.380096284834545,-0.08505526868511627
EM,9,21,-0.3087200582860253,18.495527691045528,-0.12336084127034627
EM,9,30,-0.14066932196134607,11.697357282917627,0.0268675670936708
EM,10,3,-0.27748081376454975,30.136758179544366,-0.0923502815559941
EM,10,12,-0.27950930165157756,14.092121425497101,-0.1208753549116564
EM,10,17,-0.2614227342076414,14.752130296563996,-0.12438759302414765
EM,10,21,-0.32291727769383227,22.46731824944793,-0.0961689426360398
EM,10,30,-0.19494633467034367,21.605464957622395,-0.12426019563116103
