MODEL,K,SEED,SILHOUETTE,DB,CR
HA,2,0,0.834100280512905,0.22105502149261427,-0.0019427797450528301
HA,3,0,0.7334760480907803,0.44129866531872103,-0.005726359975792313
HA,4,0,0.5205783453652143,0.4736992809865833,-0.006653168764438779
HA,5,0,0.5222270838893744,0.6291916344286685,-0.011167570328029706
HA,6,0,0.42750624344168686,0.5728281033115113,-0.012049463974274
HA,7,0,0.3657166305780763,0.5410684098293544,-0.012924154035106973
HA,8,0,0.3199918616955272,0.5330269313350294,-0.013791719386695975
HA,9,0,0.27697087443454527,0.5462636618560597,-0.01465223774940866
HA,10,0,0.2492682349679909,0.5558050894263553,-0.01550578570889226
HA,11,0,0.22622460723129834,0.5650683858059483,-0.016352438736700347
HA,12,0,0.20738596834280326,0.5727790343374257,-0.01719227121046417
HA,13,0,0.19141390461537272,0.5793483992641417,-0.01802535643362578
HA,14,0,0.17776562383963618,0.5849489543418686,-0.018851766654758326
HA,15,0,0.16593748281108758,0.5897770892205559,-0.01967157308645674
HA,16,0,0.15558789193277547,0.5939801000355519,-0.020484845923830892
HA,17,0,0.14645593860812262,0.5976635447987594,-0.02129165436260262
HA,18,0,0.13833867957016635,0.6009162096328198,-0.022092066616816425
HA,19,0,0.1310759008928224,0.6038081935293795,-0.02288614993618189
HA,20,0,0.12453942889734902,0.606389547322606,-0.02367397062303436
