MODEL,K,SEED,SILHOUETTE,DB,CR
EM,2,3,0.5257101665736263,0.792488336851197,-0.0950795905948475
EM,2,12,0.5257101665736259,0.792488336851197,-0.0950795905948475
EM,2,17,0.5257101665736266,0.792488336851197,-0.0950795905948475
EM,2,21,0.5257101665736263,0.792488336851197,-0.0950795905948475
EM,2,30,0.5257101665736263,0.792488336851197,-0.0950795905948475
EM,3,3,0.3771983862556551,1.2473361416879498,-0.10842641652089796
EM,3,12,0.4190150857239507,1.3100741277476444,-0.10933436428112911
EM,3,17,0.37719838625565566,1.2473361416879498,-0.10842641652089796
EM,3,21,0.4190150857239506,1.3100741277476444,-0.10933436428112911
EM,3,30,0.3770550858986185,1.2433679022324053,-0.10825118219192754
EM,4,3,0.35526218159426454,1.2546673046576882,-0.11334978993007287
EM,4,12,0.35526218159426415,1.2546673046576882,-0.11334978993007287
EM,4,17,0.35526218159426415,1.2546673046576882,-0.11334978993007287
EM,4,21,0.3552621815942642,1.2546673046576882,-0.11334978993007287
EM,4,30,0.32236107584413687,1.457415001984599,-0.11421495964807764
EM,5,3,0.28442936530572666,2.2342448775332167,-0.11686669454048876
EM,5,12,0.35019950329644345,1.1770646007977414,-0.11750451836237505
EM,5,17,0.32494997669110726,1.2474812222755773,-0.11607465073453342
EM,5,21,0.350199503296443,1.1770646007977414,-0.11750451836237505
EM,5,30,0.26615577075773966,1.4671766584332684,-0.11661239321318093
EM,6,3,0.20114792364397718,3.225415369523443,-0.04067638464589198
EM,6,12,0.32534575243090413,2.1117488578167922,-0.11910610349188967
EM,6,17,0.27175084583957226,1.865569259114536,-0.1187437367884841
EM,6,21,0.31201856183451904,1.2943055899232105,-0.12003743885469667
EM,6,30,0.2649932749573137,1.3829381862552699,-0.11705658611052824
EM,7,3,0.27602844245806,2.3048471550009544,-0.07763489230323914
EM,7,12,0.2935873233745373,1.546542803769201,-0.12062080524978885
EM,7,17,0.2866297037897246,2.0517872296031787,-0.1212255455809312
EM,7,21,0.2563902136550321,1.7856127525345291,-0.07796513645119049
EM,7,30,0.23472292031626457,3.54764619484319,-0.08148674577426873
EM,8,3,0.31511588479765024,1.2972541773865194,-0.12073539643553204
EM,8,12,0.21708360126511267,1.794531918555367,-0.08918398302626679
EM,8,17,0.25417450602208674,1.7371509598389319,-0.08074462762900515
EM,8,21,0.28645547461180454,1.3589245666240661,-0.12122741816558866
EM,8,30,0.27096460177870724,1.7436109718853818,-0.12248623116134885
EM,9,3,0.30696934098605827,2.0252933849422408,-0.09203451249100643
EM,9,12,0.12454846323565597,2.7731483863331037,0.06099379420055051
EM,9,17,0.225567807449635,2.0545957446295855,-0.08505526868511627
EM,9,21,0.30372525264548256,1.7722418822697557,-0.12336084127034627
EM,9,30,0.1549800423110949,1.7394301482062469,0.02426395146831375
EM,10,3,0.243808918589464,2.3871499824914175,-0.0923502815559941
EM,10,12,0.14040816202376888,2.316511056898079,0.09079298696040279
EM,10,17,0.19670739287385125,1.428173236671069,-0.1243974190095046
EM,10,21,0.2709891241442205,2.222211799822486,-0.0961689426360398
EM,10,30,0.2520564409610826,1.4909912196965323,-0.12426019563116103
